new_catalysts,best_predicted_activity,true_activity,Al/M,T,P,t,metal
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(cccc2Cc2cc(C)ccc2C)C=[N+]1c1ccccc1,1.024650622020007,14057.35887,9400,30,8,1,40
CC(C)c1cccc(Cc2cccc3c2C=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]c4ccccc4C=[N+]2c2ccccc2)[O]3)c1C(C)C,0.9896619550465536,8669.054441,9400,30,8,1,40
CC(C)(C)c1ccccc1C1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]c3ccccc3C=[N+]2c2ccccc2)[O]c2ccccc21,0.9885820989247844,8540.68282,9400,30,8,1,40
Cc1cc(C)c2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C=[N+]1c1ccc(-c2ccc(F)cc2)cc1,0.9767398881275694,7251.691644,9400,55,10,1,40
Cc1c(C)c(C)c(C2(C)C=[N+](c3ccccc3)[Zr-2]3([Cl])([Cl])([O]C2)[O]c2ccccc2C=[N+]3c2ccccc2)c(C)c1C,0.9675977579717236,6391.260921,9400,60,8,1,40
CC(C)c1cccc(C(C)C)c1C1C=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]C1)[O]c1ccccc1C=[N+]2c1ccccc1,0.9591959260601266,5690.829267,9400,30,8,1,40
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(cccc2Cc2cccc(C(C)C)c2C(C)C)C=[N+]1c1ccccc1,0.9581573541437493,5609.757978,9400,30,8,1,40
CC(C)c1cccc(C(C)C)c1C1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CC1)[O]c1ccccc1C=[N+]2c1ccccc1,0.9557497177586896,5426.231355,9400,30,8,1,40
CC(C)c1cccc(-c2cccc3c2C=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]3)c1C(C)C,0.9551461727439402,5381.174016,9400,30,8,1,40
CC(C)(C)c1ccccc1-c1ccccc1[N+]1=Cc2ccccc2[O][Zr-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2c1ccccc1,0.9505102567508112,5047.328143,9400,30,8,1,40
CC(C)c1cc(C[N+]2=Cc3ccccc3[O][Zr-2]23([Cl])([Cl])[O]c2ccccc2C=[N+]3c2ccccc2)cc(C(C)C)c1,0.9441692889785718,4623.977731,9400,30,8,1,40
CC(C)c1cccc(C2C=[N+](c3ccccc3)[Zr-2]3([Cl])([Cl])([O]C2)[O]c2ccccc2C=[N+]3c2ccccc2)c1C(C)C,0.9392542433232688,4320.414947,9400,30,8,1,40
CC(C)c1cccc(C(C)C)c1C1(C)CC=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]c3ccccc3C=[N+]2c2ccccc2)[O]1,0.9382934286880462,4263.44409,9400,30,8,1,40
CC(C)(C)c1ccccc1C1(C)C=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]C1)[O]c1ccccc1C=[N+]2c1ccccc1,0.9343275032878235,4036.128826,9400,30,8,1,40
Cc1ccc(C[N+]2=Cc3cc(C)cc(C)c3[O][Zr-2]23([Cl])([Cl])[O]c2c(C)cc(C)cc2C=[N+]3c2ccccc2)c(C)c1,0.93311566955638,3969.118063,9400,30,8,1,40
Cc1cc(C)c(C[N+]2=Cc3cc(C)cc(C)c3[O][Zr-2]23([Cl])([Cl])[O]c2c(C)cc(C)cc2C=[N+]3c2ccccc2)c(C)c1,0.9326558790971272,3943.985182,9400,30,8,1,40
CC(C)c1cccc(C[N+]2=Cc3ccccc3[O][Zr-2]23([Cl])([Cl])[O]c2ccccc2C=[N+]3c2ccccc2)c1C(C)C,0.9313594680557764,3873.974952,9400,30,8,1,40
CC(C)(C)c1ccc(C2(C)C=[N+](c3ccccc3)[Zr-2]3([Cl])([Cl])([O]C2)[O]c2ccccc2C=[N+]3c2ccccc2)cc1,0.929914892722317,3797.426321,9400,30,8,1,40
Cc1cc(C)c2c(c1)C=[N+](Cc1cccc(C)c1C)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C=[N+]1c1ccccc1,0.929242702936142,3762.324214,9400,30,8,1,40
Cc1cc(C)c2c(c1)C=[N+](Cc1c(C(C)C)cccc1C(C)C)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C=[N+]1c1ccccc1,0.9276506589436952,3680.475691,9400,30,10,1,40
Cc1ccc(C)c(Cc2ccc3c(c2)[O][Zr-2]2([Cl])([Cl])([O]c4ccccc4C=[N+]2c2ccccc2)[N+](c2ccccc2)=C3)c1,0.9274514208195496,3670.358831,9400,30,8,1,40
Cc1cc(C)c2c(c1)C=[N+](C)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(CCCCc3ccccc3)cc2C=[N+]1c1ccccc1,0.9268258857385204,3638.77594,800,50,8,1,40
Cc1ccc(C)c(Cc2ccc3c(c2)C=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]c4ccccc4C=[N+]2c2ccccc2)[O]3)c1,0.9265586543912376,3625.366575,9400,30,8,1,40
